method,psnr_mean,psnr_std,ssim_mean,ssim_std,brisque_mean,brisque_std,entropy_mean,entropy_std,time_ms_mean,time_ms_std
Low-light(input),10.144966551663561,0.6812693133688543,0.28986505087104597,0.03264827305405292,22.765028592294563,7.574058321860023,6.041401068369548,0.2572510593228592,0.0,0.0
GHE,17.087949279312475,0.49152712600160786,0.45373449290989487,0.0802212872185527,49.94383708955224,3.9754944100139036,7.78651434580485,0.052040424512427755,1.7906675333354845,0.08795850539164281
Gamma,15.497808945164447,0.5593128419948038,0.5132438888708343,0.07688061877253707,45.349388288169486,4.9679459256069896,6.927003796895345,0.10158610732893629,1.82145113333263,0.13200082638168148
CLAHE-only,15.548629877516397,1.5684977875118353,0.4832893322513741,0.10342478627404132,47.54761348645205,6.4177096507015365,7.355924002329508,0.12881886814672994,2.81342153332389,0.15390543738082804
SSR-only,15.697219406614385,0.5616322671356265,0.42344832893268125,0.08410655526072246,55.78863628512524,5.029515094854105,7.544862365722656,0.13140962488907276,39.97587993334643,3.390006871315245
Fixed-fusion,18.39122941350876,1.0308178882550503,0.4940285104497575,0.1001233520845815,51.43782281929904,3.9881375038243116,7.482817300160726,0.1106907539356337,41.53075719999985,3.1815998534437546
Proposed,19.029114996914394,0.717092897819608,0.4941309776478794,0.09978443652098881,51.71100259869347,4.116774311873219,7.519904168446859,0.08890385632834207,77.9136496000054,7.789125994704026
