image,seed,method,psnr,ssim,brisque,entropy,time_ms
kodim01,0,Low-light(input),9.709179192188731,0.3159439885339475,25.459824055231223,6.024893760681152,0.0
kodim01,0,GHE,16.477908979870566,0.5395146349134086,48.2995801923897,7.863252639770508,1.8140039999821056
kodim01,0,Gamma,15.425771110978044,0.6144552725912512,42.07616759882907,6.884880542755127,1.75789600001508
kodim01,0,CLAHE-only,16.31171141084139,0.5758521738283426,49.14349904715547,7.576122283935547,2.7497030000063205
kodim01,0,SSR-only,16.006441348749057,0.5404988108413321,50.9320815943623,7.649346351623535,40.510573000005934
kodim01,0,Fixed-fusion,18.87848228698109,0.6000975213908281,50.30121148303064,7.659318923950195,44.930236000027435
kodim01,0,Proposed,19.171125463139354,0.5999252138338477,50.062674893521006,7.67298698425293,98.98132800003623
kodim01,1,Low-light(input),9.708418430376627,0.3159613671144283,25.421592571871173,6.025258541107178,0.0
kodim01,1,GHE,16.484438362329644,0.5393568245214228,47.27051809846759,7.863373756408691,1.825153999959639
kodim01,1,Gamma,15.425840170961955,0.6145572764481901,41.692162228854926,6.8855719566345215,1.9243210000468025
kodim01,1,CLAHE-only,16.319575038060517,0.576103395733234,47.294332911524265,7.574974060058594,2.804493999974511
kodim01,1,SSR-only,16.072713715651965,0.5418567281942065,50.03686726413261,7.654305934906006,41.698132000021815
kodim01,1,Fixed-fusion,18.866931153490953,0.6000193473682488,48.35194909646029,7.659603118896484,44.270748999963416
kodim01,1,Proposed,19.16347671471445,0.5999036305590429,48.30981317262351,7.673711776733398,77.24689499997339
kodim01,2,Low-light(input),9.708585305175331,0.3160581694467914,25.644096664664488,6.02532958984375,0.0
kodim01,2,GHE,16.473002848760057,0.5392119472271405,47.881974812089965,7.863741874694824,1.824901000020418
kodim01,2,Gamma,15.424526151429355,0.6148937260136093,41.37104320907426,6.885448455810547,1.8457059999832381
kodim01,2,CLAHE-only,16.330357943299326,0.5762546446082136,48.08286233886324,7.5778489112854,2.917029000002458
kodim01,2,SSR-only,16.095924692867655,0.5422348666257321,49.97989562584698,7.656315803527832,42.85317000000077
kodim01,2,Fixed-fusion,18.847966905520426,0.5996837169444361,49.19578351116783,7.661636829376221,42.257528999982696
kodim01,2,Proposed,19.142941250965347,0.5995914372296811,49.193290599205824,7.675422668457031,76.93088600001374
kodim05,0,Low-light(input),11.425065584428218,0.23138043002080666,10.837552944546445,5.606989860534668,0.0
kodim05,0,GHE,16.589740207193575,0.5565657348563114,43.97391439950067,7.762325286865234,1.8028240000376172
kodim05,0,Gamma,16.558655800379903,0.5869175996416027,42.13195766495389,6.883974075317383,1.769985999999335
kodim05,0,CLAHE-only,18.073029901380004,0.6226700039416063,35.21515935392969,7.241941928863525,3.2669849999820144
kodim05,0,SSR-only,15.27828294543258,0.5002186533807467,53.63162616984877,7.738994121551514,46.3612620000049
kodim05,0,Fixed-fusion,19.699698018382307,0.6142172561131632,45.71861911025914,7.517143726348877,44.39215799999374
kodim05,0,Proposed,19.89409414925157,0.6156778299123575,45.99428457896701,7.5308637619018555,79.20485300002156
kodim05,1,Low-light(input),11.425346861635564,0.2314532126426614,10.83475576047087,5.608262062072754,0.0
